program,transform,gt_kind,ok,err,e_type,align_ok,text_base,text_bytes,gt_starts,base_rate,ece_raw,ece_recal,auroc_raw,auroc_recal,reliability,resolution,recall0,prec0,f1_0,prec_strict,npred_strict,cw_fp,cw_flag
p04_fnptr,AddOpaque,min,1,,EXEC,1,0x401040,865,189,0.2235,0.0671,0.0012,0.9382,0.9462,0.0166,0.1024,0.6984,0.8408,0.763,0.8947,114,12,1
p04_fnptr,EncodeArithmetic,max,1,,EXEC,1,0x401020,545,179,0.334,0.0396,0.0,0.986,0.9885,0.0106,0.1849,0.7542,0.9926,0.8571,1.0,98,0,0
p04_fnptr,EncodeArithmetic,min,1,,EXEC,1,0x401020,545,142,0.2609,0.0688,0.0026,0.9599,0.9656,0.0137,0.1268,0.7817,0.8162,0.7986,0.8776,98,12,1
p04_fnptr,EncodeLiterals,max,1,,EXEC,1,0x401040,1073,285,0.2742,0.0369,0.0,0.9812,0.9836,0.0058,0.1562,0.7579,0.9774,0.8538,1.0,189,0,0
p04_fnptr,EncodeLiterals,min,1,,EXEC,1,0x401040,1073,239,0.2334,0.0488,0.0003,0.9757,0.9799,0.0099,0.1284,0.8033,0.8688,0.8348,0.9312,189,13,0
p05_vm,baseline,max,1,,EXEC,1,0x401020,641,196,0.3224,0.0207,0.0,0.991,0.9927,0.0036,0.1896,0.801,0.9937,0.887,0.9915,118,1,0
p05_vm,baseline,min,1,,EXEC,1,0x401020,641,159,0.2582,0.0534,0.0017,0.9714,0.9764,0.0081,0.1404,0.8365,0.8418,0.8391,0.8898,118,13,1
p05_vm,Virtualize,max,1,,EXEC,1,0x401020,2961,602,0.2199,0.0138,0.0,0.9951,0.9961,0.0019,0.1543,0.8372,0.9902,0.9073,0.9924,393,3,0
p05_vm,Virtualize,min,1,,EXEC,1,0x401020,2961,558,0.2036,0.017,0.0001,0.9926,0.9935,0.002,0.1412,0.8602,0.943,0.8997,0.9618,393,15,0
p05_vm,Flatten,max,1,,EXEC,1,0x401020,1025,266,0.2896,0.1239,0.0,0.8876,0.8958,0.0213,0.0874,0.5526,0.8448,0.6682,0.972,107,3,0
p05_vm,Flatten,min,1,,EXEC,1,0x401020,1025,233,0.2523,0.1431,0.0012,0.8609,0.8731,0.035,0.0648,0.5279,0.7069,0.6044,0.8411,107,17,1
p05_vm,AddOpaque,max,1,,EXEC,1,0x401040,881,244,0.2818,0.0268,0.0,0.9807,0.9838,0.0024,0.1594,0.7336,0.9835,0.8404,1.0,137,0,0
p05_vm,AddOpaque,min,1,,EXEC,1,0x401040,881,206,0.2423,0.0491,0.0009,0.9638,0.9685,0.0078,0.1222,0.7524,0.8516,0.799,0.9124,137,12,0
p05_vm,EncodeArithmetic,max,1,,EXEC,1,0x401020,817,249,0.3261,0.0332,0.0,0.9853,0.9873,0.0039,0.1781,0.8112,0.9854,0.8899,0.994,167,1,0
p05_vm,EncodeArithmetic,min,1,,EXEC,1,0x401020,817,212,0.2756,0.0563,0.001,0.9684,0.9721,0.0088,0.1425,0.8396,0.8683,0.8537,0.8982,167,17,1
p05_vm,EncodeLiterals,max,1,,EXEC,1,0x401040,1041,286,0.2878,0.052,0.0,0.9667,0.9699,0.0128,0.1551,0.7448,0.9907,0.8503,0.9942,172,1,0
p05_vm,EncodeLiterals,min,1,,EXEC,1,0x401040,1041,239,0.2441,0.066,0.0006,0.9574,0.9622,0.0174,0.1253,0.7908,0.8791,0.8326,0.9128,172,15,0
p06_parser,baseline,max,1,,EXEC,1,0x401020,449,145,0.3245,0.0299,0.0,0.9853,0.9875,0.0057,0.1846,0.7793,0.9912,0.8726,1.0,90,0,0
p06_parser,baseline,min,1,,EXEC,1,0x401020,449,112,0.2452,0.0737,0.0028,0.9604,0.9677,0.0174,0.117,0.7946,0.7807,0.7876,0.8667,90,12,1
p06_parser,Virtualize,max,1,,EXEC,1,0x401020,2785,624,0.2516,0.0146,0.0001,0.996,0.9968,0.0035,0.173,0.8622,0.9926,0.9228,0.9978,451,1,0
p06_parser,Virtualize,min,1,,EXEC,1,0x401020,2785,580,0.2336,0.0179,0.0001,0.9926,0.9939,0.0027,0.1584,0.8862,0.9483,0.9162,0.9712,451,13,0
p06_parser,Flatten,max,1,,EXEC,1,0x401020,705,195,0.2918,0.066,0.0,0.9501,0.9557,0.008,0.1267,0.6256,0.9839,0.7649,1.0,88,0,0
p06_parser,Flatten,min,1,,EXEC,1,0x401020,705,164,0.2429,0.0982,0.0024,0.9173,0.9263,0.0201,0.0844,0.5976,0.7903,0.6806,0.8636,88,12,1
p06_parser,AddOpaque,max,1,,EXEC,1,0x401040,769,209,0.2707,0.05,0.0,0.9567,0.9637,0.009,0.1385,0.7416,0.9748,0.8424,1.0,136,0,0
p06_parser,AddOpaque,min,1,,EXEC,1,0x401040,769,169,0.223,0.0893,0.0008,0.9401,0.9508,0.0222,0.1007,0.7751,0.8239,0.7988,0.8971,136,14,1
p06_parser,EncodeArithmetic,max,1,,EXEC,1,0x401020,641,192,0.3085,0.0201,0.0,0.9877,0.9909,0.0032,0.1831,0.8229,0.9814,0.8952,0.9786,140,3,0
p06_parser,EncodeArithmetic,min,1,,EXEC,1,0x401020,641,156,0.2475,0.0549,0.0009,0.9776,0.9817,0.0091,0.1338,0.859,0.8323,0.8454,0.8929,140,15,1
p06_parser,EncodeLiterals,max,1,,EXEC,1,0x401040,961,259,0.274,0.0249,0.0,0.9858,0.9878,0.0031,0.1646,0.7838,0.9807,0.8712,1.0,177,0,0
p06_parser,EncodeLiterals,min,1,,EXEC,1,0x401040,961,218,0.2345,0.0452,0.0004,0.9792,0.9821,0.0078,0.1319,0.8211,0.8647,0.8424,0.9266,177,13,0
p07_crc,baseline,max,1,,EXEC,1,0x401020,369,119,0.3263,0.0199,0.0,0.9899,0.9923,0.003,0.1888,0.7731,1.0,0.872,1.0,66,0,0
p07_crc,baseline,min,1,,EXEC,1,0x401020,369,88,0.2335,0.089,0.0114,0.9495,0.9566,0.0217,0.1067,0.7727,0.7391,0.7556,0.8182,66,12,1
p07_crc,Virtualize,max,1,,EXEC,1,0x401020,1745,421,0.2646,0.0183,0.0003,0.9917,0.9929,0.0021,0.1682,0.8195,0.9942,0.8984,0.9931,288,2,0
p07_crc,Virtualize,min,1,,EXEC,1,0x401020,1745,380,0.2382,0.0251,0.0002,0.9854,0.9871,0.0021,0.1468,0.8447,0.9251,0.8831,0.9514,288,14,0
p07_crc,Flatten,max,1,,EXEC,1,0x401020,545,160,0.2982,0.0737,0.0,0.9331,0.941,0.0116,0.13,0.6188,0.9429,0.7472,0.9494,79,4,0
p07_crc,Flatten,min,1,,EXEC,1,0x401020,545,127,0.2326,0.1139,0.005,0.8904,0.9013,0.0299,0.077,0.5906,0.7143,0.6466,0.7975,79,16,1
p07_crc,AddOpaque,max,1,,EXEC,1,0x401040,817,223,0.2771,0.0498,0.0,0.9628,0.9672,0.0115,0.1472,0.7354,0.988,0.8432,1.0,144,0,0
p07_crc,AddOpaque,min,1,,EXEC,1,0x401040,817,185,0.2343,0.0846,0.0007,0.9479,0.956,0.0207,0.1093,0.7568,0.8434,0.7977,0.9167,144,12,0
p07_crc,EncodeArithmetic,max,1,,EXEC,1,0x401020,497,161,0.3304,0.0317,0.0,0.9881,0.9902,0.0079,0.1929,0.8199,0.9925,0.898,0.9909,110,1,0
p07_crc,EncodeArithmetic,min,1,,EXEC,1,0x401020,497,129,0.2604,0.073,0.0017,0.9693,0.9738,0.0162,0.1298,0.8372,0.812,0.8244,0.8818,110,13,1
p07_crc,EncodeLiterals,max,1,,EXEC,1,0x401040,769,210,0.276,0.0453,0.0,0.9696,0.9741,0.0132,0.1541,0.7381,0.9936,0.847,1.0,135,0,0
p07_crc,EncodeLiterals,min,1,,EXEC,1,0x401040,769,171,0.229,0.0723,0.0008,0.9546,0.9605,0.0212,0.1121,0.7661,0.8397,0.8012,0.9037,135,13,0
p08_binsearch,baseline,max,1,,EXEC,1,0x401020,401,128,0.3198,0.0284,0.0,0.9934,0.9946,0.0089,0.1946,0.7891,1.0,0.8821,1.0,79,0,0
p08_binsearch,baseline,min,1,,EXEC,1,0x401020,401,96,0.2331,0.0852,0.0052,0.9644,0.9694,0.02,0.1133,0.8021,0.7624,0.7817,0.8481,79,12,1
p08_binsearch,Virtualize,max,1,,EXEC,1,0x401020,2257,521,0.2535,0.0171,0.0009,0.9961,0.9969,0.0033,0.1734,0.858,0.9933,0.9207,0.9974,391,1,0
p08_binsearch,Virtualize,min,1,,EXEC,1,0x401020,2257,473,0.2297,0.0232,0.0048,0.9919,0.9928,0.0027,0.1545,0.8943,0.94,0.9166,0.9668,391,13,0
p08_binsearch,Flatten,max,1,,EXEC,1,0x401020,705,194,0.2889,0.0988,0.0,0.9173,0.928,0.023,0.1145,0.5619,0.9561,0.7078,0.9762,84,2,0
p08_binsearch,Flatten,min,1,,EXEC,1,0x401020,705,157,0.2308,0.1194,0.0025,0.8834,0.8997,0.0331,0.0725,0.5414,0.7456,0.6273,0.8333,84,14,1
p08_binsearch,AddOpaque,max,1,,EXEC,1,0x401040,753,199,0.2603,0.0324,0.0,0.9866,0.9895,0.0076,0.1596,0.7739,0.9872,0.8676,1.0,114,0,0
p08_binsearch,AddOpaque,min,1,,EXEC,1,0x401040,753,160,0.2134,0.0567,0.0011,0.9694,0.9746,0.015,0.1154,0.8125,0.8333,0.8228,0.886,114,13,1
p08_binsearch,EncodeArithmetic,max,1,,EXEC,1,0x401020,577,176,0.3103,0.0299,0.0,0.9919,0.9932,0.0053,0.1844,0.8182,1.0,0.9,1.0,128,0,0
p08_binsearch,EncodeArithmetic,min,1,,EXEC,1,0x401020,577,143,0.2486,0.0607,0.0012,0.9786,0.9817,0.0125,0.131,0.8392,0.8333,0.8362,0.8906,128,14,1
p08_binsearch,EncodeLiterals,max,1,,EXEC,1,0x401040,849,225,0.2649,0.0549,0.0,0.9446,0.9537,0.0166,0.1371,0.6844,1.0,0.8127,1.0,133,0,0
p08_binsearch,EncodeLiterals,min,1,,EXEC,1,0x401040,849,184,0.2205,0.0764,0.0008,0.9279,0.9403,0.0235,0.0993,0.7065,0.8442,0.7692,0.9098,133,12,0
p09_matmul,baseline,max,1,,EXEC,1,0x401020,609,173,0.286,0.0129,0.0,0.9962,0.997,0.0026,0.1857,0.8324,1.0,0.9085,1.0,120,0,0
p09_matmul,baseline,min,1,,EXEC,1,0x401020,609,141,0.2298,0.0534,0.0012,0.9825,0.9849,0.0085,0.1303,0.8511,0.8333,0.8421,0.9,120,12,0
p09_matmul,Virtualize,max,1,,EXEC,1,0x401020,2609,551,0.2359,0.0194,0.0,0.994,0.9951,0.0026,0.1592,0.8439,0.9915,0.9118,0.9922,386,3,0
p09_matmul,Virtualize,min,1,,EXEC,1,0x401020,2609,500,0.2137,0.0263,0.0001,0.9899,0.9916,0.0031,0.1435,0.88,0.9382,0.9082,0.9508,386,19,0
p09_matmul,Flatten,max,1,,EXEC,1,0x401020,881,240,0.2919,0.076,0.0,0.935,0.9391,0.01,0.1182,0.5833,0.9459,0.7216,1.0,99,0,0
p09_matmul,Flatten,min,1,,EXEC,1,0x401020,881,201,0.2424,0.0924,0.002,0.9114,0.9181,0.0194,0.0882,0.5771,0.7838,0.6648,0.8788,99,12,1
p09_matmul,AddOpaque,max,1,,EXEC,1,0x401040,1025,265,0.2599,0.041,0.0,0.9807,0.9829,0.0076,0.151,0.7962,0.986,0.881,1.0,188,0,0
p09_matmul,AddOpaque,min,1,,EXEC,1,0x401040,1025,227,0.2265,0.0619,0.0038,0.9719,0.9746,0.0128,0.1184,0.8238,0.8738,0.8481,0.9309,188,13,0
p09_matmul,EncodeArithmetic,max,1,,EXEC,1,0x401020,785,246,0.3255,0.0157,0.0,0.9954,0.9964,0.0027,0.1976,0.8821,0.9909,0.9333,0.9947,190,1,0
p09_matmul,EncodeArithmetic,min,1,,EXEC,1,0x401020,785,215,0.2828,0.0445,0.0007,0.9827,0.9846,0.0058,0.157,0.8977,0.8813,0.8894,0.9211,190,15,0
p09_matmul,EncodeLiterals,max,1,,EXEC,1,0x401040,1153,292,0.257,0.0355,0.0,0.976,0.9799,0.0083,0.152,0.7842,0.9913,0.8757,1.0,206,0,0
p09_matmul,EncodeLiterals,min,1,,EXEC,1,0x401040,1153,253,0.2263,0.0514,0.0003,0.9698,0.9746,0.0124,0.1239,0.8103,0.8874,0.8471,0.9369,206,13,0
p10_collatz,baseline,max,1,,EXEC,1,0x401020,385,125,0.3239,0.0192,0.0,0.9914,0.9927,0.0039,0.1904,0.768,1.0,0.8688,1.0,78,0,0
p10_collatz,baseline,min,1,,EXEC,1,0x401020,385,94,0.2366,0.0817,0.0063,0.9586,0.9643,0.0179,0.1108,0.7766,0.7604,0.7684,0.8205,78,14,1
p10_collatz,Virtualize,max,1,,EXEC,1,0x401020,1601,395,0.2744,0.0215,0.0,0.9897,0.9913,0.0022,0.1705,0.8076,0.9785,0.8849,0.9926,272,2,0
p10_collatz,Virtualize,min,1,,EXEC,1,0x401020,1601,352,0.2438,0.033,0.0002,0.9843,0.9862,0.0041,0.1491,0.8381,0.9049,0.8702,0.9375,272,17,0
p10_collatz,Flatten,max,1,,EXEC,1,0x401020,577,167,0.2985,0.0662,0.0,0.9578,0.963,0.0139,0.1422,0.6287,0.9813,0.7664,0.9873,79,1,0
p10_collatz,Flatten,min,1,,EXEC,1,0x401020,577,120,0.2091,0.0762,0.0052,0.9359,0.9425,0.0216,0.0883,0.6667,0.7477,0.7048,0.7848,79,17,1
p10_collatz,AddOpaque,max,1,,EXEC,1,0x401040,705,195,0.2737,0.0673,0.0,0.9481,0.9552,0.0086,0.1261,0.7436,0.9539,0.8357,1.0,125,0,0
p10_collatz,AddOpaque,min,1,,EXEC,1,0x401040,705,157,0.2248,0.1041,0.0011,0.9258,0.9366,0.024,0.0868,0.7643,0.7895,0.7767,0.848,125,19,1
p10_collatz,EncodeArithmetic,max,1,,EXEC,1,0x401040,465,148,0.3232,0.0343,0.0,0.9888,0.9904,0.0081,0.1869,0.7973,1.0,0.8872,1.0,98,0,0
p10_collatz,EncodeArithmetic,min,1,,EXEC,1,0x401040,465,117,0.2506,0.0796,0.0045,0.96,0.9663,0.0201,0.1205,0.8034,0.7966,0.8,0.8776,98,12,1
p10_collatz,EncodeLiterals,max,1,,EXEC,1,0x401040,801,223,0.2832,0.0573,0.0,0.9485,0.9572,0.0075,0.1373,0.7309,0.9532,0.8274,1.0,144,0,0
p10_collatz,EncodeLiterals,min,1,,EXEC,1,0x401040,801,182,0.2353,0.089,0.0008,0.9317,0.9458,0.0168,0.0996,0.7582,0.807,0.7819,0.875,144,18,1
p11_sieve,baseline,max,1,,EXEC,1,0x401040,529,154,0.2903,0.0732,0.0,0.9545,0.9611,0.0102,0.1315,0.7078,0.9316,0.8044,0.97,100,3,0
p11_sieve,baseline,min,1,,EXEC,1,0x401040,529,123,0.2278,0.1,0.002,0.9351,0.9456,0.0269,0.0903,0.7073,0.7436,0.725,0.79,100,21,1
p11_sieve,Virtualize,max,1,,EXEC,1,0x401020,1617,355,0.2334,0.0217,0.0,0.9889,0.9913,0.003,0.157,0.7972,0.9659,0.8735,0.9957,233,1,0
p11_sieve,Virtualize,min,1,,EXEC,1,0x401020,1617,318,0.2084,0.0308,0.0004,0.9792,0.9836,0.0036,0.1334,0.8145,0.884,0.8478,0.9399,233,14,0
p11_sieve,Flatten,max,1,,EXEC,1,0x401020,721,200,0.2923,0.105,0.0,0.9061,0.9143,0.0198,0.1021,0.52,0.9286,0.6667,0.9872,78,1,0
p11_sieve,Flatten,min,1,,EXEC,1,0x401020,721,155,0.2231,0.1131,0.0027,0.8791,0.8928,0.0287,0.0641,0.5161,0.7143,0.5993,0.8333,78,13,1
p11_sieve,AddOpaque,max,1,,EXEC,1,0x401040,801,207,0.2557,0.0522,0.0,0.9727,0.9757,0.0096,0.1407,0.7343,0.987,0.8421,1.0,134,0,0
p11_sieve,AddOpaque,min,1,,EXEC,1,0x401040,801,169,0.2129,0.079,0.0008,0.9596,0.9634,0.0183,0.0997,0.7574,0.8312,0.7926,0.903,134,13,0
p11_sieve,EncodeArithmetic,max,1,,EXEC,1,0x401040,657,193,0.3055,0.025,0.0,0.9794,0.9828,0.0056,0.1737,0.7617,0.9932,0.8622,1.0,123,0,0
p11_sieve,EncodeArithmetic,min,1,,EXEC,1,0x401040,657,161,0.2521,0.0562,0.0014,0.9574,0.9637,0.0112,0.1225,0.764,0.8311,0.7961,0.9024,123,12,0
p11_sieve,EncodeLiterals,max,1,,EXEC,1,0x401040,977,263,0.2717,0.0208,0.0,0.988,0.9898,0.0016,0.1661,0.8099,0.9861,0.8894,1.0,187,0,0
p11_sieve,EncodeLiterals,min,1,,EXEC,1,0x401040,977,224,0.2354,0.0455,0.0004,0.9806,0.9833,0.0077,0.1334,0.8438,0.875,0.8591,0.9305,187,13,0
p12_modpow,baseline,max,1,,EXEC,1,0x401040,577,166,0.2966,0.0203,0.0,0.9837,0.9866,0.0024,0.173,0.7771,1.0,0.8746,1.0,108,0,0
p12_modpow,baseline,min,1,,EXEC,1,0x401040,577,134,0.2357,0.0569,0.0014,0.9656,0.9708,0.0111,0.1167,0.7836,0.814,0.7985,0.8889,108,12,1
p12_modpow,Virtualize,max,1,,EXEC,1,0x401020,2193,500,0.2448,0.0178,0.0,0.9946,0.9954,0.0027,0.1657,0.888,0.9867,0.9347,0.988,416,5,0
p12_modpow,Virtualize,min,1,,EXEC,1,0x401020,2193,456,0.2228,0.0209,0.0001,0.9928,0.9937,0.0025,0.1485,0.9211,0.9333,0.9272,0.9591,416,17,0
p12_modpow,Flatten,max,1,,EXEC,1,0x401040,625,179,0.2986,0.0596,0.0,0.9578,0.9644,0.007,0.1422,0.6927,0.9612,0.8052,0.9796,98,2,0
p12_modpow,Flatten,min,1,,EXEC,1,0x401040,625,140,0.2297,0.0828,0.0031,0.9331,0.9422,0.0184,0.0943,0.7071,0.7674,0.7361,0.8469,98,15,1
p12_modpow,AddOpaque,max,1,,EXEC,1,0x401040,961,263,0.282,0.0354,0.0,0.9884,0.9901,0.004,0.1663,0.8251,0.9731,0.893,1.0,200,0,0
p12_modpow,AddOpaque,min,1,,EXEC,1,0x401040,961,224,0.2443,0.0502,0.0004,0.9835,0.9858,0.0089,0.1374,0.8705,0.8744,0.8725,0.925,200,15,0
p12_modpow,EncodeArithmetic,max,1,,EXEC,1,0x401040,721,210,0.303,0.0278,0.0,0.9904,0.992,0.0057,0.1831,0.8095,0.9884,0.8901,0.9873,157,2,0
p12_modpow,EncodeArithmetic,min,1,,EXEC,1,0x401040,721,175,0.25,0.0527,0.0007,0.9809,0.9836,0.0092,0.1362,0.8343,0.8488,0.8415,0.9108,157,14,0
p12_modpow,EncodeLiterals,max,1,,EXEC,1,0x401040,1105,308,0.284,0.0348,0.0,0.9803,0.9829,0.0087,0.1652,0.7987,0.9919,0.8849,1.0,223,0,0
p12_modpow,EncodeLiterals,min,1,,EXEC,1,0x401040,1105,268,0.251,0.0503,0.0003,0.9745,0.9782,0.0122,0.137,0.8284,0.8952,0.8605,0.9417,223,13,0
