binary,obf,struct,obj_class,rung,n,n_ambig,base_rate,U_entropy,U_bayes,U_entropy_ambig,U_bayes_ambig,beta_ambig,ece,auroc,align_ok,e_type,exec_vaddr,gt_n,ambig_provenance,resolve,n_clamp,status
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,function-head,R4,,,0.3676,,,,,,0.1304,0.9791,True,2,4204928,16921,manifest.decoy_entries,True,122,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,instruction-start,R5,124388,18335,0.13603402257452488,0.11485067188908445,0.024205192461296217,0.19353004779688376,0.04312301391587725,0.9228797382056176,0.03419272373639866,0.959617195379667,True,2,4204928,16921,manifest.decoy_entries,True,244,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,function-head,R5,,,0.3676,,,,,,0.1478,1.0,True,2,4204928,16921,manifest.decoy_entries,True,244,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,instruction-start,R0,119505,18091,0.14159240199154846,0.19094287836196863,0.039638053985169903,0.4542016704269711,0.0971259594513481,0.9353269581559892,0.10195434800638473,0.9095291940288707,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,instruction-start,R1,119505,,0.1416,,,,,,0.1027,0.7017,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,function-head,R0,,,0.0136,,,,,,0.338,0.7567,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,instruction-start,R2,119505,18091,0.14159240199154846,0.22263441175998502,0.05502203358567883,0.6151500298570453,0.16693165824535827,0.9353269581559892,0.066052398446425,0.9168226958423703,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,function-head,R2,,,0.0136,,,,,,0.338,0.7567,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,instruction-start,R3,119505,18091,0.14159240199154846,0.22258359502663463,0.05500083228626265,0.6149618449662879,0.16686273251965558,0.9353269581559892,0.06605686404445603,0.9168348770898105,True,2,4204928,16921,manifest.decoy_entries,True,0,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,function-head,R3,,,0.0136,,,,,,0.338,0.7567,True,2,4204928,16921,manifest.decoy_entries,True,0,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,instruction-start,R4,119505,18091,0.14159240199154846,0.22263441175998502,0.05502203358567883,0.6151500298570453,0.16693165824535827,0.9353269581559892,0.066052398446425,0.9168226958423703,True,2,4204928,16921,manifest.decoy_entries,True,50,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,function-head,R4,,,0.0136,,,,,,0.3404,0.8923,True,2,4204928,16921,manifest.decoy_entries,True,50,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,instruction-start,R5,119505,18091,0.14159240199154846,0.22258359502663463,0.05500083228626265,0.6149618449662879,0.16686273251965558,0.9353269581559892,0.06605686404445603,0.9168348770898105,True,2,4204928,16921,manifest.decoy_entries,True,99,ok
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,function-head,R5,,,0.0136,,,,,,0.3413,0.9375,True,2,4204928,16921,manifest.decoy_entries,True,99,ok
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,instruction-start,R0,123824,18206,0.1366536374208554,0.1543091641584251,0.030274165637450036,0.409990746126886,0.08307161242099377,0.9294188728990442,0.10637947178340537,0.9232828000163102,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,instruction-start,R1,123824,,0.1367,,,,,,0.0543,0.8008,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,function-head,R0,,,0.1559,,,,,,0.1634,0.9484,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,instruction-start,R2,123824,18206,0.1366536374208554,0.13051271851751003,0.027682602192065045,0.28045778065730614,0.06448143509144584,0.9294188728990442,0.03803163737378516,0.9556311735091295,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,function-head,R2,,,0.1559,,,,,,0.1634,0.9484,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,instruction-start,R3,123824,18206,0.1366536374208554,0.13051271851751003,0.027682602192065045,0.28045778065730614,0.06448143509144584,0.9294188728990442,0.03803163737378516,0.9556311735091295,True,2,4204928,16921,manifest.decoy_entries,True,0,ok
