name,role,n,base_rate,code_bytes,region_entropy,ece_calibrated,ece_raw,s_glob_surprise,s_glob_nis,s_spat_moran,s_spat_clustered,mean_nis,frac_super
gcc_coreutils_64_O1_df,clean_fit,62880,0.271088,68860,6.1589,0.002017,0.008247,0.703101,436.563302,0.045419,0.014259,436.563302,0.016730
icc_coreutils_64_O0_truncate,clean_fit,31785,0.293000,35424,5.6731,0.002241,0.008019,0.893682,435.555662,0.033003,0.032432,435.555662,0.005820
gcc_coreutils_64_O1_sha384sum,clean_fit,33619,0.281954,36204,6.3329,0.001698,0.009320,0.653882,448.712290,0.037241,0.098921,448.712290,0.016538
icc_coreutils_64_O2_test,clean_fit,14447,0.281027,16060,6.2515,0.002905,0.022177,0.898596,542.866818,0.091362,0.023438,542.866818,0.017720
icc_coreutils_64_O2_env,clean_fit,14720,0.278533,16188,6.2378,0.004050,0.023886,0.831892,522.386452,0.090064,0.030864,522.386452,0.022011
gcc_coreutils_64_O3_md5sum,clean_fit,29368,0.268830,32012,6.3342,0.002163,0.017021,0.825423,489.471709,0.068915,0.013333,489.471709,0.022984
icc_coreutils_64_O3_chgrp,clean_fit,44159,0.269956,48492,6.2228,0.001591,0.013963,0.919327,537.977907,0.108436,0.041096,537.977907,0.019837
icc_coreutils_64_O1_sort,clean_fit,57074,0.275677,61548,6.2659,0.001333,0.008047,0.762148,489.010597,0.047739,0.021898,489.010597,0.019203
icc_coreutils_64_O0_pathchk,clean_fit,19330,0.297517,21376,5.7327,0.003558,0.012426,1.183089,538.250592,0.039337,0.000000,538.250592,0.003259
icc_coreutils_64_O0_setuidgid,clean_fit,21193,0.298164,23420,5.7269,0.002961,0.013241,0.915284,510.513218,0.042063,0.053061,510.513218,0.011560
gcc_coreutils_64_O3_nproc,clean_fit,24253,0.266441,26412,6.2403,0.002746,0.018544,0.764800,458.879220,0.074847,0.016981,458.879220,0.021853
icc_coreutils_64_O2_echo,clean_fit,11377,0.279160,12556,6.2161,0.003934,0.030854,0.726968,446.815781,0.116261,0.026432,446.815781,0.019953
icc_coreutils_64_O3_ls,clean_fit,81851,0.268732,90188,6.3491,0.002519,0.016579,0.822086,432.521515,0.091373,0.050725,432.521515,0.015174
icc_coreutils_64_O0_join,clean_fit,28667,0.295078,31564,5.7389,0.002146,0.009302,1.026354,471.458523,0.041626,0.000000,471.458523,0.002930
icc_coreutils_64_O1_paste,clean_fit,15668,0.274636,16956,6.1531,0.003463,0.017335,0.888519,493.973406,0.072422,0.019108,493.973406,0.020041
icc_coreutils_64_O0_mknod,clean_fit,21704,0.299438,23920,5.7581,0.002591,0.011710,0.835654,477.497614,0.035410,0.068000,477.497614,0.011519
icc_coreutils_64_O0_logname,clean_fit,17869,0.297387,19804,5.7277,0.002203,0.012233,0.900022,474.848091,0.035451,0.000000,474.848091,0.005372
icc_coreutils_64_O2_getlimits,clean_fit,29374,0.263703,32316,6.0894,0.001640,0.015400,0.811891,515.523672,0.096330,0.069024,515.523672,0.020222
icc_coreutils_64_O0_pwd,clean_fit,21195,0.298278,23592,5.7187,0.003150,0.011046,0.945358,501.744131,0.034576,0.057554,501.744131,0.006558
gcc_coreutils_64_O2_mktemp,clean_fit,20162,0.281867,22156,6.2620,0.002553,0.021313,0.841801,547.360913,0.089397,0.013636,547.360913,0.021823
gcc_coreutils_64_O2_dirname,clean_holdout,14582,0.278905,15980,6.2296,0.004197,0.025762,0.831818,519.788130,0.092581,0.018576,519.788130,0.022151
gcc_coreutils_64_O2_vdir,clean_holdout,61575,0.274803,67900,6.3131,0.002899,0.020137,0.802918,462.724702,0.089517,0.033871,462.724702,0.020138
icc_coreutils_64_O3_unexpand,clean_holdout,24698,0.263584,26828,6.2133,0.002728,0.016353,0.821270,461.539712,0.074631,0.017452,461.539712,0.023200
icc_coreutils_64_O0_pr,clean_holdout,41888,0.290656,46656,5.9018,0.001435,0.011680,1.129710,463.192235,0.043047,0.000000,463.192235,0.002459
icc_coreutils_64_O3_numfmt,clean_holdout,48776,0.266217,53932,6.2965,0.003099,0.017427,0.769711,412.320751,0.068813,0.047009,412.320751,0.014392
icc_coreutils_64_O0_sha224sum,clean_holdout,37285,0.321953,41084,5.8144,0.001357,0.005987,1.049603,409.625928,0.022099,0.000000,409.625928,0.002226
