offset,addr,cavity_q,local_m,residual,surprise,event,label
43307,0xcc9b,0.00000,0.20000,20.00100,0.22314,0,0
43308,0xcc9c,0.00000,0.20000,20.00100,0.22314,0,0
43309,0xcc9d,0.00000,0.20000,20.00100,0.22314,0,0
43310,0xcc9e,0.00000,0.20000,20.00100,0.22314,0,0
43311,0xcc9f,0.00000,0.20000,20.00100,0.22314,0,0
43312,0xcca0,0.00000,0.20000,20.00100,0.22314,0,0
43313,0xcca1,0.99950,1.00000,0.02227,0.00050,0,1
43314,0xcca2,0.00000,0.20000,20.00100,0.22314,0,0
43315,0xcca3,0.00000,0.20000,20.00100,0.22314,0,0
43316,0xcca4,0.99930,1.00000,0.02641,0.00070,0,1
43317,0xcca5,0.00000,0.20000,20.00100,0.22314,0,0
43318,0xcca6,0.00000,0.20000,20.00100,0.22314,0,0
43319,0xcca7,0.00000,0.20000,20.00100,0.22314,0,0
43320,0xcca8,0.99930,1.00000,0.02641,0.00070,0,1
43321,0xcca9,0.00000,0.20000,20.00100,0.22314,0,0
43322,0xccaa,0.00000,0.20000,20.00100,0.22314,0,0
43323,0xccab,0.00000,0.20000,20.00100,0.22314,0,0
43324,0xccac,0.99950,1.00000,0.02227,0.00050,0,1
43325,0xccad,0.00000,0.20000,20.00100,0.22314,0,0
43326,0xccae,0.00000,0.20000,20.00100,0.22314,0,0
43327,0xccaf,0.91690,1.00000,0.30106,0.08676,0,1
43328,0xccb0,0.00000,0.20000,20.00100,0.22314,0,0
43329,0xccb1,0.00000,0.20000,20.00100,0.22314,0,0
43330,0xccb2,0.00000,0.20000,20.00100,0.22314,0,0
43331,0xccb3,0.00000,0.20000,20.00100,0.22314,0,0
43332,0xccb4,0.99999,1.00000,0.00095,0.00001,0,1
43333,0xccb5,0.00000,0.20000,20.00100,0.22314,0,0
43334,0xccb6,0.00000,0.20000,20.00100,0.22314,0,0
43335,0xccb7,1.00000,1.00000,0.00000,0.00000,0,1
43336,0xccb8,1.00000,1.00000,0.00000,0.00000,0,1
43337,0xccb9,0.00000,0.20000,20.00100,0.22314,0,0
43338,0xccba,0.00000,0.20000,20.00100,0.22314,0,0
43339,0xccbb,0.99999,1.00000,0.00076,0.00001,0,1
43340,0xccbc,0.00000,0.20000,20.00100,0.22314,0,0
43341,0xccbd,0.99996,1.00000,0.00358,0.00004,0,1
43342,0xccbe,0.00000,0.20000,20.00100,0.22314,0,0
43343,0xccbf,0.00000,1.00000,100.00500,547.70406,1,1
43344,0xccc0,0.00000,0.20000,20.00100,0.22314,0,0
43345,0xccc1,0.00000,1.00000,100.00500,255.64251,1,0
43346,0xccc2,0.00000,1.00000,100.00500,547.70406,1,0
43347,0xccc3,0.00000,1.00000,100.00500,547.70406,1,1
43348,0xccc4,0.00000,1.00000,100.00500,276.27804,1,0
43349,0xccc5,0.00000,0.20000,20.00100,0.22314,0,0
43350,0xccc6,0.00000,0.20000,20.00100,0.22314,0,0
43351,0xccc7,0.99878,1.00000,0.03494,0.00122,0,1
43352,0xccc8,0.00000,0.20000,20.00100,0.22314,0,0
43354,0xccca,0.25124,1.00000,1.72633,1.38134,0,1
43355,0xcccb,0.00000,1.00000,100.00500,18.42068,0,0
43357,0xcccd,1.00000,1.00000,0.00000,-0.00000,0,1
43358,0xccce,0.00000,0.20000,20.00100,0.22314,0,0
43359,0xcccf,0.00000,0.20000,20.00100,0.22314,0,0
43361,0xccd1,0.00000,0.20000,20.00100,0.22314,0,0
43362,0xccd2,0.99950,1.00000,0.02227,0.00050,0,1
43363,0xccd3,0.00000,0.20000,20.00100,0.22314,0,0
43364,0xccd4,1.00000,1.00000,0.00000,0.00000,0,1
43365,0xccd5,0.99950,1.00000,0.02227,0.00050,0,1
43366,0xccd6,0.00000,0.20000,20.00100,0.22314,0,0
43367,0xccd7,0.99620,1.00000,0.06176,0.00381,0,1
43368,0xccd8,0.00000,0.20000,20.00100,0.22314,0,0
43369,0xccd9,0.00000,0.20000,20.00100,0.22314,0,0
43372,0xccdc,0.00000,0.20000,20.00100,0.22314,0,0
43373,0xccdd,0.00000,0.20000,20.00100,0.22314,0,0
43374,0xccde,0.89823,1.00000,0.33660,0.10733,0,1
43375,0xccdf,0.00000,0.20000,20.00100,0.22314,0,0
43376,0xcce0,0.00000,0.20000,20.00100,0.22314,0,0
43378,0xcce2,0.00000,0.20000,20.00100,0.22314,0,0
43379,0xcce3,0.00000,0.20000,20.00100,0.22314,0,0
43380,0xcce4,0.00000,0.20000,20.00100,0.22314,0,0
43381,0xcce5,0.99999,1.00000,0.00107,0.00001,0,1
43382,0xcce6,0.00000,0.20000,20.00100,0.22314,0,0
43383,0xcce7,0.00000,0.20000,20.00100,0.22314,0,0
43384,0xcce8,0.00000,0.20000,20.00100,0.22314,0,0
43385,0xcce9,0.99998,1.00000,0.00191,0.00002,0,1
43386,0xccea,0.00000,0.20000,20.00100,0.22314,0,0
43387,0xcceb,0.00000,0.20000,20.00100,0.22314,0,0
43388,0xccec,0.00000,0.20000,20.00100,0.22314,0,0
43389,0xcced,0.00000,0.20000,20.00100,0.22314,0,0
43390,0xccee,0.00000,0.20000,20.00100,0.22314,0,0
43391,0xccef,0.00000,0.20000,20.00100,0.22314,0,0
43392,0xccf0,0.00000,0.20000,20.00100,0.22314,0,0
43393,0xccf1,0.99999,1.00000,0.00119,0.00001,0,1
43394,0xccf2,0.00000,0.20000,20.00100,0.22314,0,0
43395,0xccf3,0.00000,0.20000,20.00100,0.22314,0,0
43396,0xccf4,0.02439,1.00000,6.32456,3.71357,0,1
43397,0xccf5,0.00000,0.20000,20.00100,0.22314,0,0
43398,0xccf6,0.00000,0.20000,20.00100,0.22314,0,0
43399,0xccf7,0.99999,1.00000,0.00107,0.00001,0,1
43400,0xccf8,0.00000,0.20000,20.00100,0.22314,0,0
43401,0xccf9,0.00000,0.20000,20.00100,0.22314,0,0
43402,0xccfa,0.00000,0.20000,20.00100,0.22314,0,0
43403,0xccfb,0.99991,1.00000,0.00935,0.00009,0,1
43404,0xccfc,0.00000,0.92453,92.45745,2.58400,0,0
43405,0xccfd,0.00000,0.20000,20.00100,0.22314,0,0
43406,0xccfe,0.88888,1.00000,0.35356,0.11779,0,1
43407,0xccff,0.00000,0.20000,20.00100,0.22314,0,0
43408,0xcd00,0.99999,1.00000,0.00076,0.00001,0,1
43409,0xcd01,0.03030,1.00000,5.65685,3.49651,0,1
43410,0xcd02,0.00000,0.20000,20.00100,0.22314,0,0
43411,0xcd03,0.99996,1.00000,0.00358,0.00004,0,1
43412,0xcd04,0.00000,0.20000,20.00100,0.22314,0,0
43413,0xcd05,0.00000,1.00000,100.00500,276.27804,1,1
43414,0xcd06,0.00000,0.20000,20.00100,0.22314,0,0
43415,0xcd07,0.00000,0.20000,20.00100,0.22314,0,0
43416,0xcd08,0.00000,1.00000,100.00500,272.27804,1,0
43417,0xcd09,0.00000,1.00000,100.00494,14.25561,0,1
43418,0xcd0a,0.00000,0.20000,20.00100,0.22314,0,0
43419,0xcd0b,0.00000,0.92453,92.45745,2.58400,0,0
43420,0xcd0c,0.00000,0.20000,20.00100,0.22314,0,0
43421,0xcd0d,0.00000,0.92453,92.45745,2.58400,0,0
43422,0xcd0e,1.00000,1.00000,0.00000,-0.00000,0,1
43424,0xcd10,0.65974,1.00000,0.71816,0.41591,0,1
43425,0xcd11,0.00000,0.20000,20.00100,0.22314,0,0
43426,0xcd12,0.00000,0.92453,92.45745,2.58400,0,0
43427,0xcd13,0.00000,0.20000,20.00100,0.22314,0,0
43428,0xcd14,0.00000,0.92453,92.45745,2.58400,0,0
43429,0xcd15,1.00000,1.00000,0.00000,0.00000,0,1
43430,0xcd16,0.00000,0.20000,20.00100,0.22314,0,0
43431,0xcd17,0.00000,1.00000,100.00496,14.68788,0,1
43432,0xcd18,0.00000,1.00000,100.00500,20.92621,0,0
43433,0xcd19,0.86304,1.00000,0.39836,0.14729,0,1
43434,0xcd1a,0.00000,0.20000,20.00100,0.22314,0,0
43435,0xcd1b,0.00000,0.20000,20.00100,0.22314,0,0
43439,0xcd1f,0.00000,0.92453,92.45745,2.58400,0,0
43440,0xcd20,0.14035,1.00000,2.47488,1.96361,0,1
43441,0xcd21,0.00000,0.92453,92.45745,2.58400,0,0
43442,0xcd22,0.00000,0.20000,20.00100,0.22314,0,0
43443,0xcd23,0.02439,1.00000,6.32456,3.71357,0,1
43444,0xcd24,0.00000,0.20000,20.00100,0.22314,0,0
43445,0xcd25,0.00000,0.20000,20.00100,0.22314,0,0
43446,0xcd26,0.00000,0.20000,20.00100,0.22314,0,0
43447,0xcd27,0.88889,1.00000,0.35355,0.11778,0,1
43448,0xcd28,0.00000,0.20000,20.00100,0.22314,0,0
43449,0xcd29,0.99996,1.00000,0.00358,0.00004,0,1
43450,0xcd2a,0.00000,0.20000,20.00100,0.22314,0,0
43451,0xcd2b,0.00000,1.00000,100.00500,270.73287,1,1
43452,0xcd2c,0.00000,1.00000,100.00500,266.73287,1,0
43453,0xcd2d,0.00000,0.20000,20.00100,0.22314,0,0
43454,0xcd2e,0.00000,0.20000,20.00100,0.22314,0,0
43455,0xcd2f,0.00000,0.20000,20.00100,0.22314,0,0
43456,0xcd30,1.00000,1.00000,0.00000,-0.00000,0,1
43457,0xcd31,0.00000,0.20000,20.00100,0.22314,0,0
43458,0xcd32,1.00000,1.00000,0.00000,-0.00000,0,1
43459,0xcd33,0.00000,0.20000,20.00100,0.22314,0,0
43460,0xcd34,0.00000,0.20000,20.00100,0.22314,0,0
43461,0xcd35,0.00000,0.20000,20.00100,0.22314,0,0
43462,0xcd36,0.00000,0.20000,20.00100,0.22314,0,0
43463,0xcd37,1.00000,1.00000,0.00003,0.00000,0,1
43464,0xcd38,0.00000,0.20000,20.00100,0.22314,0,0
43465,0xcd39,0.00000,0.20000,20.00100,0.22314,0,0
43466,0xcd3a,0.00000,0.20000,20.00100,0.22314,0,0
43467,0xcd3b,1.00000,1.00000,0.00000,-0.00000,0,1
43468,0xcd3c,0.99999,1.00000,0.00076,0.00001,0,1
43469,0xcd3d,1.00000,1.00000,0.00000,0.00000,0,1
43470,0xcd3e,0.98624,1.00000,0.11810,0.01385,0,1
43471,0xcd3f,0.00000,0.20000,20.00100,0.22314,0,0
43472,0xcd40,0.00000,0.20000,20.00100,0.22314,0,0
43474,0xcd42,0.00000,0.92453,92.45745,2.58400,0,0
43475,0xcd43,0.00000,0.20000,20.00100,0.22314,0,0
43476,0xcd44,0.00000,0.92453,92.45745,2.58400,0,0
43477,0xcd45,0.99999,1.00000,0.00095,0.00001,0,1
43478,0xcd46,0.00000,0.20000,20.00100,0.22314,0,0
43479,0xcd47,0.00000,0.92453,92.45745,2.58400,0,0
43480,0xcd48,0.99910,1.00000,0.03001,0.00090,0,1
43481,0xcd49,0.00000,0.20000,20.00100,0.22314,0,0
43482,0xcd4a,0.00000,0.92453,92.45745,2.58400,0,0
43483,0xcd4b,0.00000,0.92453,92.45745,2.58400,0,0
43484,0xcd4c,0.99999,1.00000,0.00119,0.00001,0,1
43485,0xcd4d,0.00000,0.20000,20.00100,0.22314,0,0
43486,0xcd4e,0.00000,0.20000,20.00100,0.22314,0,0
43487,0xcd4f,0.75065,1.00000,0.57635,0.28681,0,1
43488,0xcd50,0.00000,0.20000,20.00100,0.22314,0,0
43489,0xcd51,0.00000,0.92453,92.45745,2.58400,0,0
43490,0xcd52,0.00000,0.20000,20.00100,0.22314,0,0
43491,0xcd53,1.00000,1.00000,0.00000,0.00000,0,1
43492,0xcd54,1.00000,1.00000,0.00000,0.00000,0,1
43493,0xcd55,0.99996,1.00000,0.00358,0.00004,0,1
43494,0xcd56,0.00000,0.20000,20.00100,0.22314,0,0
43495,0xcd57,0.99805,1.00000,0.04419,0.00195,0,0
43497,0xcd59,0.99805,1.00000,0.04419,0.00195,0,0
43498,0xcd5a,0.00000,1.00000,100.00500,545.08026,1,0
43499,0xcd5b,0.00000,0.20000,20.00100,0.22314,0,0
43500,0xcd5c,0.00000,1.00000,100.00500,266.73287,1,1
43501,0xcd5d,0.00000,0.20000,20.00100,0.22314,0,1
43502,0xcd5e,0.00000,0.20000,20.00100,0.22314,0,1
43503,0xcd5f,0.00000,0.20000,20.00100,0.22314,0,0
43504,0xcd60,0.00000,0.20000,20.00100,0.22314,0,0
43505,0xcd61,0.00000,1.00000,100.00500,532.61370,1,1
43506,0xcd62,0.00000,0.20000,20.00100,0.22314,0,0
43507,0xcd63,0.00000,0.20000,20.00100,0.22314,0,0
43508,0xcd64,0.00000,1.00000,100.00500,542.15888,1,0
43509,0xcd65,0.00000,1.00000,100.00500,542.15888,1,1
43510,0xcd66,0.00000,0.92453,92.45745,2.58400,0,0
43511,0xcd67,0.00000,1.00000,100.00500,266.73287,1,0
43512,0xcd68,0.00000,0.20000,20.00100,0.22314,0,0
43513,0xcd69,0.94323,1.00000,0.24533,0.05845,0,1
43514,0xcd6a,0.00000,0.20000,20.00100,0.22314,0,0
43515,0xcd6b,0.00000,0.20000,20.00100,0.22314,0,0
43516,0xcd6c,0.00000,0.20000,20.00100,0.22314,0,0
43517,0xcd6d,0.00000,0.20000,20.00100,0.22314,0,0
43518,0xcd6e,0.00000,0.20000,20.00100,0.22314,0,0
43519,0xcd6f,0.00000,0.20000,20.00100,0.22314,0,0
43520,0xcd70,0.99950,1.00000,0.02227,0.00050,0,1
43521,0xcd71,0.00000,0.20000,20.00100,0.22314,0,0
43522,0xcd72,0.00000,0.20000,20.00100,0.22314,0,0
43523,0xcd73,0.99930,1.00000,0.02641,0.00070,0,1
43524,0xcd74,0.00000,0.20000,20.00100,0.22314,0,0
43525,0xcd75,0.00000,0.20000,20.00100,0.22314,0,0
43526,0xcd76,0.00000,0.20000,20.00100,0.22314,0,0
43527,0xcd77,0.99930,1.00000,0.02641,0.00070,0,1
43528,0xcd78,0.00000,0.20000,20.00100,0.22314,0,0
43529,0xcd79,0.00000,0.20000,20.00100,0.22314,0,0
43530,0xcd7a,0.00000,0.20000,20.00100,0.22314,0,0
43531,0xcd7b,0.99950,1.00000,0.02227,0.00050,0,1
