name,role,n,base_rate,code_bytes,region_entropy,ece_calibrated,ece_raw,s_glob_surprise,s_glob_nis,s_spat_moran,s_spat_clustered,mean_nis,frac_super,b_mean_pi,b_pred_entropy,b_msp,b_mean_abs_llr,level
desync_coreutils_64_O0_base32,desync,54652,0.294372,59442,6.0982,0.053337,0.058077,26.952149,802.659477,0.181787,0.222967,802.659477,0.065487,0.335796,0.011258,0.995463,1104.728768,pilot
desync_coreutils_64_O0_mv,desync,205035,0.287370,225970,6.1031,0.051295,0.053632,27.269467,783.953071,0.184706,0.233168,783.953071,0.067730,0.332823,0.005375,0.997866,5534.578738,pilot
desync_coreutils_64_O0_mknod,desync,50219,0.293017,54946,6.0908,0.053614,0.059350,25.746934,768.705827,0.194828,0.239291,768.705827,0.061829,0.334208,0.012063,0.995251,1175.504049,pilot
desync_coreutils_64_O0_dircolors,desync,50384,0.291739,54882,6.0832,0.052634,0.057298,24.456337,769.758352,0.170296,0.200133,769.758352,0.059801,0.331450,0.009339,0.996366,1021.569344,pilot
desync_coreutils_64_O0_logname,desync,37038,0.293077,40418,6.1009,0.051403,0.057590,21.961265,753.869070,0.159419,0.193648,753.869070,0.052703,0.326388,0.014145,0.994439,589.053940,pilot
desync_coreutils_64_O0_runcon,desync,39491,0.292928,43106,6.0842,0.052271,0.059932,21.956092,756.564728,0.163940,0.183654,756.564728,0.052670,0.328106,0.014936,0.994188,629.526858,pilot
desync_coreutils_64_O0_factor,desync,176711,0.291063,194018,6.0285,0.050529,0.053242,25.781015,748.693273,0.180687,0.194008,748.693273,0.064405,0.333370,0.005951,0.997603,2838.843257,pilot
desync_coreutils_64_O0_od,desync,184624,0.276253,203442,6.1068,0.050501,0.054240,21.196562,735.483621,0.179429,0.228889,735.483621,0.052084,0.313291,0.011043,0.995540,3638.798033,pilot
desync_coreutils_64_O0_env,desync,55432,0.290266,60866,6.0875,0.051202,0.055069,24.678791,775.025339,0.169004,0.218299,775.025339,0.061318,0.330530,0.009077,0.996411,1281.949217,pilot
desync_coreutils_64_O0_ln,desync,97707,0.290399,107522,6.0833,0.052432,0.055882,26.923179,786.353262,0.183808,0.222963,786.353262,0.066055,0.334641,0.007446,0.997015,1577.069630,pilot
desync_coreutils_64_O0_nl,desync,50635,0.290629,55170,6.0968,0.054720,0.060020,23.638695,778.861340,0.167948,0.230082,778.861340,0.057510,0.330398,0.012390,0.995124,1209.805171,pilot
desync_coreutils_64_O0_vdir,desync,209495,0.288250,229506,6.1209,0.049903,0.053955,23.526381,740.079163,0.177014,0.210232,740.079163,0.058035,0.327111,0.010289,0.995906,2707.987793,pilot
desync_coreutils_64_O0_pr,desync,107648,0.288579,117730,6.1603,0.050544,0.055094,23.701647,754.227455,0.183605,0.216900,754.227455,0.058375,0.327809,0.011614,0.995297,1492.536331,pilot
desync_coreutils_64_O0_tsort,desync,64977,0.289672,71106,6.1481,0.069208,0.071738,31.341388,847.527148,0.181253,0.223619,847.527148,0.074673,0.345941,0.007200,0.997063,1173.607995,d1_med
desync_coreutils_64_O0_comm,desync,74545,0.289449,81762,6.1648,0.069744,0.071655,32.485385,878.194054,0.183597,0.219013,878.194054,0.076625,0.348059,0.005956,0.997557,2599.985146,d1_med
desync_coreutils_64_O0_unlink,desync,51369,0.292024,56258,6.1530,0.065320,0.068307,31.939018,853.768449,0.194653,0.216696,853.768449,0.076719,0.347772,0.006868,0.997164,1343.414105,d1_med
desync_coreutils_64_O0_timeout,desync,68006,0.290974,74562,6.1653,0.065792,0.068047,31.892064,854.013196,0.182919,0.227396,854.013196,0.076111,0.347237,0.005833,0.997576,1682.824634,d1_med
desync_coreutils_64_O0_ptx,desync,101564,0.286735,110946,6.1600,0.068533,0.070937,32.743377,855.787559,0.186669,0.212476,855.787559,0.077340,0.345261,0.006283,0.997507,2304.603378,d1_med
desync_coreutils_64_O0_link,desync,52053,0.292125,57026,6.1567,0.066311,0.069822,29.038943,832.058709,0.174897,0.211538,832.058709,0.068930,0.343516,0.008289,0.996639,1132.699459,d1_med
desync_coreutils_64_O0_cut,desync,76190,0.289027,83586,6.1447,0.065530,0.067801,31.138248,844.835765,0.186367,0.214400,844.835765,0.073645,0.344262,0.006720,0.997237,1442.836930,d1_med
desync_coreutils_64_O0_base32,desync,74931,0.293310,81810,6.1609,0.068326,0.070434,32.724595,861.081378,0.191829,0.225745,861.081378,0.077445,0.351469,0.006583,0.997273,1953.758535,d1_med
desync_coreutils_64_O0_mknod,desync,68149,0.293020,74946,6.1600,0.067089,0.070850,32.546696,857.973944,0.200500,0.224862,857.973944,0.077198,0.349921,0.008288,0.996660,1786.038863,d1_med
desync_coreutils_64_O0_dircolors,desync,68822,0.290518,75298,6.1501,0.068312,0.070392,33.479353,867.840753,0.184745,0.197117,867.840753,0.077621,0.349329,0.005553,0.997731,1818.550544,d1_med
desync_coreutils_64_O0_logname,desync,50633,0.292240,55506,6.1542,0.065814,0.069550,28.924116,824.920098,0.181606,0.220315,824.920098,0.069026,0.344444,0.009020,0.996297,981.685766,d1_med
desync_coreutils_64_O0_runcon,desync,54456,0.292511,59650,6.1489,0.067443,0.070986,27.475238,826.707929,0.166264,0.207843,826.707929,0.065558,0.343315,0.010153,0.995862,1133.551105,d1_med
desync_coreutils_64_O0_make-prime-list,desync,6494,0.295504,7128,6.1009,0.060134,0.063261,31.312056,850.988183,0.194377,0.234694,850.988183,0.075454,0.344844,0.007534,0.997059,300.355505,d1_med
desync_coreutils_64_O0_env,desync,76197,0.290353,83650,6.1570,0.068218,0.070609,32.597818,847.991722,0.188725,0.219086,847.991722,0.078113,0.349596,0.005829,0.997627,2487.419303,d1_med
desync_coreutils_64_O0_ln,desync,131592,0.289243,145266,6.1604,0.068559,0.070101,33.095440,870.496783,0.185873,0.215102,870.496783,0.079101,0.349383,0.004698,0.998099,4225.417562,d1_med
desync_coreutils_64_O0_nl,desync,69168,0.290221,75714,6.1612,0.068706,0.071567,32.189135,863.689024,0.187996,0.224265,863.689024,0.076264,0.347333,0.006764,0.997301,2168.361294,d1_med
desync_coreutils_64_O0_nproc,desync,56992,0.292602,62370,6.1547,0.067750,0.071362,31.657690,851.523500,0.190140,0.215472,851.523500,0.073940,0.347858,0.008335,0.996634,1999.637416,d1_med
desync_coreutils_64_O0_sum,desync,95009,0.289573,104738,6.1383,0.066283,0.068906,31.168465,849.226228,0.180234,0.212884,849.226228,0.075645,0.345176,0.007203,0.997081,2475.248106,d1_med
desync_coreutils_64_O0_sync,desync,55341,0.292134,60610,6.1570,0.069019,0.071533,33.287397,865.686343,0.196042,0.224471,865.686343,0.076797,0.350766,0.006253,0.997465,1644.510604,d1_med
desync_coreutils_64_O0_join,desync,95864,0.290839,105074,6.1537,0.069192,0.071717,33.241287,867.353706,0.186125,0.215436,867.353706,0.078392,0.350342,0.006358,0.997438,3199.029774,d1_med
desync_coreutils_64_O0_unlink,desync,119774,0.278157,130242,6.2698,0.100036,0.100119,44.523903,990.282408,0.209623,0.116736,990.282408,0.042054,0.371515,0.003094,0.998722,4892.061053,d2_heavy
desync_coreutils_64_O0_link,desync,121423,0.276669,132018,6.2756,0.099839,0.099808,44.476846,992.290891,0.211029,0.110938,992.290891,0.042241,0.371099,0.002722,0.998833,4096.438294,d2_heavy
desync_coreutils_64_O0_logname,desync,118573,0.277888,128978,6.2745,0.100649,0.101195,43.923278,986.062881,0.208761,0.105452,986.062881,0.042227,0.370349,0.003818,0.998444,4132.879051,d2_heavy
desync_coreutils_64_O0_runcon,desync,127801,0.278480,138994,6.2756,0.101280,0.101154,44.900905,996.262847,0.210707,0.112138,996.262847,0.043192,0.371821,0.003660,0.998427,4763.749323,d2_heavy
desync_coreutils_64_O0_make-prime-list,desync,14593,0.277393,15816,6.2327,0.105241,0.105452,17.277686,1087.248712,0.226995,0.113043,1087.248712,0.055163,0.380951,0.003173,0.998772,1375.485321,d2_heavy
desync_coreutils_64_O0_nproc,desync,132209,0.278816,143730,6.2774,0.101622,0.101883,45.523798,1004.118462,0.215742,0.116583,1004.118462,0.043923,0.373493,0.003071,0.998674,5919.712910,d2_heavy
desync_coreutils_64_O0_sync,desync,129751,0.277562,141138,6.2794,0.099745,0.099795,43.571925,988.349906,0.213171,0.104333,988.349906,0.041441,0.369988,0.003699,0.998426,4516.717764,d2_heavy
desync_coreutils_64_O0_nice,desync,132610,0.277837,144290,6.2770,0.099408,0.099440,45.064815,998.792940,0.216737,0.103683,998.792940,0.043202,0.372103,0.003007,0.998705,5479.601221,d2_heavy
desync_coreutils_64_O0_nohup,desync,142387,0.276823,155122,6.2665,0.102355,0.102183,47.133355,1024.862077,0.217499,0.117328,1024.862077,0.045313,0.374119,0.002395,0.998979,5414.416162,d2_heavy
desync_coreutils_64_O0_uname,desync,121596,0.277517,132242,6.2845,0.100571,0.100667,44.627491,991.905882,0.218602,0.114858,991.905882,0.042674,0.370832,0.003263,0.998630,4535.769526,d2_heavy
desync_coreutils_64_O0_tty,desync,115662,0.277870,125666,6.2784,0.101775,0.102065,44.972404,1004.604892,0.210615,0.119517,1004.604892,0.042970,0.372695,0.003023,0.998703,4432.728996,d2_heavy
desync_coreutils_64_O0_printenv,desync,117396,0.278459,127618,6.2843,0.100924,0.101170,44.387899,996.630173,0.207995,0.107540,996.630173,0.042139,0.372549,0.003085,0.998663,3801.164316,d2_heavy
desync_coreutils_64_O0_mkfifo,desync,139261,0.279633,151490,6.2767,0.099592,0.099740,44.945716,1010.371832,0.216575,0.114658,1010.371832,0.042962,0.373610,0.003099,0.998677,7297.826709,d2_heavy
desync_coreutils_64_O0_paste,desync,145699,0.276749,158274,6.2705,0.101195,0.101284,46.871799,1016.021179,0.218550,0.114290,1016.021179,0.045340,0.373124,0.002750,0.998864,6011.961056,d2_heavy
desync_coreutils_64_O0_groups,desync,135762,0.277986,147522,6.2692,0.099318,0.099220,46.639440,1012.508941,0.217999,0.121078,1012.508941,0.044836,0.372444,0.002257,0.999026,5207.293688,d2_heavy
desync_coreutils_64_O0_basename,desync,125576,0.277752,136434,6.2811,0.102072,0.102040,45.704094,1004.144813,0.217598,0.112495,1004.144813,0.044101,0.373370,0.003303,0.998623,4947.948804,d2_heavy
desync_coreutils_64_O0_mktemp,desync,142799,0.276515,155490,6.2584,0.101411,0.101503,45.401642,1006.649475,0.209525,0.114979,1006.649475,0.043852,0.370656,0.003397,0.998543,4385.983756,d2_heavy
desync_coreutils_64_O0_kill,desync,137629,0.276882,149554,6.2727,0.101223,0.101393,45.565850,1017.241974,0.209806,0.112281,1017.241974,0.043486,0.371263,0.003016,0.998718,5172.406604,d2_heavy
desync_coreutils_64_O0_true,desync,113436,0.278562,123378,6.2801,0.099335,0.099488,44.484794,989.655328,0.211967,0.131936,989.655328,0.042896,0.371200,0.003248,0.998637,4320.561259,d2_heavy
desync_coreutils_64_O0_false,desync,113434,0.278726,123362,6.2770,0.099082,0.099070,44.424176,986.421210,0.216226,0.110010,986.421210,0.042712,0.370372,0.003945,0.998335,3562.858699,d2_heavy
