name,arm,program,packer,build,packed,n,code_bytes,region_ent,s_glob,s_spat,t_n,fire_flat,fire_tn,rule_pick,guard_pick,rule_pick_tn,guard_pick_tn,gt_kind,ece_always_benign,ece_oracle,ece_rule,ece_guard
p05_vm.kite,glibc_packed,p05_vm,kite,glibc_O2_g_nopie,True,14367,15790,5.974718,0.484901,0.103399,0.124598,false,false,benign,benign,benign,benign,routing_only,0.287209,0.000000,0.287209,0.287209
p06_parser.kite,glibc_packed,p06_parser,kite,glibc_O2_g_nopie,True,14356,15773,5.974718,0.477680,0.091645,0.124620,false,false,benign,benign,benign,benign,routing_only,0.287661,0.000000,0.287661,0.287661
p07_crc.kite,glibc_packed,p07_crc,kite,glibc_O2_g_nopie,True,14358,15773,5.974718,0.477238,0.104918,0.124616,false,false,benign,benign,benign,benign,routing_only,0.287007,0.000000,0.287007,0.287007
p08_binsearch.kite,glibc_packed,p08_binsearch,kite,glibc_O2_g_nopie,True,14341,15773,5.974718,0.475558,0.102419,0.124648,false,false,benign,benign,benign,benign,routing_only,0.287240,0.000000,0.287240,0.287240
p09_matmul.kite,glibc_packed,p09_matmul,kite,glibc_O2_g_nopie,True,14354,15773,5.974718,0.473985,0.104543,0.124623,false,false,benign,benign,benign,benign,routing_only,0.286386,0.000000,0.286386,0.286386
p10_collatz.kite,glibc_packed,p10_collatz,kite,glibc_O2_g_nopie,True,14348,15773,5.974718,0.476837,0.101603,0.124635,false,false,benign,benign,benign,benign,routing_only,0.286947,0.000000,0.286947,0.286947
p12_modpow.kite,glibc_packed,p12_modpow,kite,glibc_O2_g_nopie,True,14356,15773,5.974718,0.474110,0.105089,0.124620,false,false,benign,benign,benign,benign,routing_only,0.286688,0.000000,0.286688,0.286688
p01_statemachine.kiten,glibc_packed,p01_statemachine,kiten,glibc_O2_g_nopie,True,7902,8584,5.913357,0.454463,0.166536,0.143888,true,true,packed,benign,packed,benign,routing_only,,,,
p02_insertsort.kiten,glibc_packed,p02_insertsort,kiten,glibc_O2_g_nopie,True,7904,8584,5.913357,0.453070,0.166121,0.143878,true,true,packed,benign,packed,benign,routing_only,,,,
p05_vm.kiten,glibc_packed,p05_vm,kiten,glibc_O2_g_nopie,True,7905,8584,5.913357,0.452751,0.162994,0.143873,true,true,packed,benign,packed,benign,routing_only,,,,
p06_parser.kiten,glibc_packed,p06_parser,kiten,glibc_O2_g_nopie,True,7900,8584,5.913357,0.454017,0.167765,0.143897,true,true,packed,benign,packed,benign,routing_only,,,,
p07_crc.kiten,glibc_packed,p07_crc,kiten,glibc_O2_g_nopie,True,7903,8584,5.913357,0.454419,0.168019,0.143883,true,true,packed,benign,packed,benign,routing_only,,,,
p08_binsearch.kiten,glibc_packed,p08_binsearch,kiten,glibc_O2_g_nopie,True,7901,8584,5.913357,0.453971,0.167782,0.143892,true,true,packed,benign,packed,benign,routing_only,,,,
p09_matmul.kiten,glibc_packed,p09_matmul,kiten,glibc_O2_g_nopie,True,7903,8584,5.913357,0.454560,0.165772,0.143883,true,true,packed,benign,packed,benign,routing_only,,,,
p10_collatz.kiten,glibc_packed,p10_collatz,kiten,glibc_O2_g_nopie,True,7902,8584,5.913357,0.454519,0.172236,0.143888,true,true,packed,benign,packed,benign,routing_only,,,,
p12_modpow.kiten,glibc_packed,p12_modpow,kiten,glibc_O2_g_nopie,True,7905,8584,5.913357,0.454947,0.163488,0.143873,true,true,packed,benign,packed,benign,routing_only,,,,
p01_statemachine.upxlzma,glibc_packed,p01_statemachine,upxlzma,glibc_O2_g_nopie,True,6178,6758,7.812603,0.739054,0.155869,0.153664,true,true,packed,packed,packed,packed,provable_data,0.332524,0.000000,0.000000,0.000000
p02_insertsort.upxlzma,glibc_packed,p02_insertsort,upxlzma,glibc_O2_g_nopie,True,6103,6694,7.815340,0.727838,0.130008,0.154181,true,false,packed,packed,benign,benign,provable_data,0.350493,0.000000,0.000000,0.000000
p05_vm.upxlzma,glibc_packed,p05_vm,upxlzma,glibc_O2_g_nopie,True,6225,6846,7.817834,0.755731,0.141263,0.153345,true,false,packed,packed,benign,benign,provable_data,0.355210,0.000000,0.000000,0.000000
p06_parser.upxlzma,glibc_packed,p06_parser,upxlzma,glibc_O2_g_nopie,True,6045,6630,7.821663,0.716479,0.147276,0.154588,true,false,packed,packed,benign,benign,provable_data,0.345458,0.000000,0.000000,0.000000
p07_crc.upxlzma,glibc_packed,p07_crc,upxlzma,glibc_O2_g_nopie,True,5939,6526,7.810162,0.803821,0.142939,0.155346,true,false,packed,packed,benign,benign,provable_data,0.355203,0.000000,0.000000,0.000000
p08_binsearch.upxlzma,glibc_packed,p08_binsearch,upxlzma,glibc_O2_g_nopie,True,5980,6582,7.812684,0.708619,0.157163,0.155050,true,true,packed,packed,packed,packed,provable_data,0.351652,0.000000,0.000000,0.000000
p09_matmul.upxlzma,glibc_packed,p09_matmul,upxlzma,glibc_O2_g_nopie,True,6189,6790,7.818104,0.783146,0.141125,0.153589,true,false,packed,packed,benign,benign,provable_data,0.323673,0.000000,0.000000,0.000000
p10_collatz.upxlzma,glibc_packed,p10_collatz,upxlzma,glibc_O2_g_nopie,True,5954,6542,7.809420,0.793369,0.166694,0.155238,true,true,packed,packed,packed,packed,provable_data,0.364101,0.000000,0.000000,0.000000
p12_modpow.upxlzma,glibc_packed,p12_modpow,upxlzma,glibc_O2_g_nopie,True,6169,6774,7.811237,0.725227,0.155371,0.153726,true,true,packed,packed,packed,packed,provable_data,0.324518,0.000000,0.000000,0.000000
p01_statemachine.upxnrv,glibc_packed,p01_statemachine,upxnrv,glibc_O2_g_nopie,True,4030,4557,7.592249,1.051875,0.231479,0.173771,true,true,packed,packed,packed,packed,provable_data,0.329581,0.000000,0.000000,0.000000
p02_insertsort.upxnrv,glibc_packed,p02_insertsort,upxnrv,glibc_O2_g_nopie,True,3954,4493,7.612449,1.268586,0.234392,0.174771,true,true,packed,packed,packed,packed,provable_data,0.348800,0.000000,0.000000,0.000000
p05_vm.upxnrv,glibc_packed,p05_vm,upxnrv,glibc_O2_g_nopie,True,4088,4645,7.655218,1.123240,0.241924,0.173027,true,true,packed,packed,packed,packed,provable_data,0.338112,0.000000,0.000000,0.000000
p06_parser.upxnrv,glibc_packed,p06_parser,upxnrv,glibc_O2_g_nopie,True,3879,4421,7.632292,1.124232,0.243369,0.175787,true,true,packed,packed,packed,packed,provable_data,0.352959,0.000000,0.000000,0.000000
p07_crc.upxnrv,glibc_packed,p07_crc,upxnrv,glibc_O2_g_nopie,True,3789,4317,7.630610,1.137671,0.253793,0.177045,true,true,packed,packed,packed,packed,provable_data,0.387452,0.000000,0.000000,0.000000
p08_binsearch.upxnrv,glibc_packed,p08_binsearch,upxnrv,glibc_O2_g_nopie,True,3854,4381,7.641204,1.132183,0.257950,0.176132,true,true,packed,packed,packed,packed,provable_data,0.340815,0.000000,0.000000,0.000000
p09_matmul.upxnrv,glibc_packed,p09_matmul,upxnrv,glibc_O2_g_nopie,True,4053,4589,7.592059,1.200065,0.270649,0.173474,true,true,packed,packed,packed,packed,provable_data,0.332383,0.000000,0.000000,0.000000
p10_collatz.upxnrv,glibc_packed,p10_collatz,upxnrv,glibc_O2_g_nopie,True,3809,4333,7.641387,1.241617,0.266497,0.176761,true,true,packed,packed,packed,packed,provable_data,0.347403,0.000000,0.000000,0.000000
p12_modpow.upxnrv,glibc_packed,p12_modpow,upxnrv,glibc_O2_g_nopie,True,4027,4573,7.588147,1.085394,0.218435,0.173810,true,true,packed,packed,packed,packed,provable_data,0.337791,0.000000,0.000000,0.000000
k01,ladder_clean,k01,none,freestanding_O2_g_nopie,False,288,316,5.120628,1.072310,-0.029754,0.460288,false,false,benign,benign,benign,benign,,,,,
k02,ladder_clean,k02,none,freestanding_O2_g_nopie,False,487,533,5.573934,0.784283,-0.068289,0.369958,false,false,benign,benign,benign,benign,,,,,
k03,ladder_clean,k03,none,freestanding_O2_g_nopie,False,823,914,5.763258,0.713879,-0.065110,0.300563,false,false,benign,benign,benign,benign,,,,,
k04,ladder_clean,k04,none,freestanding_O2_g_nopie,False,978,1080,5.804694,0.634081,-0.057300,0.281442,false,false,benign,benign,benign,benign,,,,,
k06,ladder_clean,k06,none,freestanding_O2_g_nopie,False,1158,1280,5.834604,0.571132,-0.068225,0.264252,false,false,benign,benign,benign,benign,,,,,
k08,ladder_clean,k08,none,freestanding_O2_g_nopie,False,1579,1728,5.975894,1.374980,0.025089,0.236242,false,false,benign,benign,benign,benign,,,,,
k10,ladder_clean,k10,none,freestanding_O2_g_nopie,False,2784,3082,5.975894,1.340010,0.051389,0.195008,false,false,benign,benign,benign,benign,,,,,
k12,ladder_clean,k12,none,freestanding_O2_g_nopie,False,3228,3564,5.991499,1.224233,0.069781,0.186038,false,false,benign,benign,benign,benign,,,,,
k01.kite,ladder_packed,k01,kite,freestanding_O2_g_nopie,True,14298,15707,5.974718,0.474519,0.105056,0.124732,false,false,benign,benign,benign,benign,routing_only,,,,
k02.kite,ladder_packed,k02,kite,freestanding_O2_g_nopie,True,14358,15773,5.974718,0.476412,0.106127,0.124616,true,false,packed,benign,benign,benign,routing_only,,,,
k03.kite,ladder_packed,k03,kite,freestanding_O2_g_nopie,True,14416,15856,5.974718,0.486450,0.103932,0.124504,false,false,benign,benign,benign,benign,routing_only,,,,
k04.kite,ladder_packed,k04,kite,freestanding_O2_g_nopie,True,14481,15922,5.974718,0.502004,0.118125,0.124380,true,false,packed,benign,benign,benign,routing_only,,,,
k06.kite,ladder_packed,k06,kite,freestanding_O2_g_nopie,True,14607,16054,5.974718,0.483876,0.107613,0.124142,true,false,packed,benign,benign,benign,routing_only,,,,
k08.kite,ladder_packed,k08,kite,freestanding_O2_g_nopie,True,14710,16186,5.974718,0.482308,0.097174,0.123949,false,false,benign,benign,benign,benign,routing_only,,,,
k10.kite,ladder_packed,k10,kite,freestanding_O2_g_nopie,True,14897,16401,7.313944,0.498909,0.115488,0.123604,true,false,packed,packed,benign,benign,routing_only,,,,
k12.kite,ladder_packed,k12,kite,freestanding_O2_g_nopie,True,15218,16797,7.279581,0.517967,0.111519,0.123028,true,false,packed,packed,benign,benign,provable_data,,,,
k01.upxlzma,ladder_packed,k01,upxlzma,freestanding_O2_g_nopie,True,5494,6022,7.809581,0.794865,0.136039,0.158766,true,false,packed,packed,benign,benign,provable_data,,,,
k02.upxlzma,ladder_packed,k02,upxlzma,freestanding_O2_g_nopie,True,5724,6270,7.816450,0.792691,0.102850,0.156949,false,false,benign,benign,benign,benign,provable_data,,,,
k03.upxlzma,ladder_packed,k03,upxlzma,freestanding_O2_g_nopie,True,6117,6710,7.813757,0.750000,0.116910,0.154084,true,false,packed,packed,benign,benign,provable_data,,,,
