name,regime,sublabel,n,code_bytes,base_rate,ece_always_benign,ece_oracle,ece_mmae,ece_clf,ece_rule,ece_guard,region_ent,mmae_pick,mmae_nis_pick,clf_pick,rule_pick,guard_pick,s_glob_benign_eng,s_spat_benign_eng,s_glob_packed_eng,s_glob_obf_eng,nis_benign_eng,nis_packed_eng,nis_obf_eng
icc_coreutils_64_O0_readlink,benign,clean,29433,32424,0.298101,0.002847,0.002847,0.002847,0.002847,0.002847,0.002847,5.634532,benign,benign,benign,benign,benign,0.890952,0.076374,0.890952,1.153210,417.334563,417.334563,754.114676
icc_coreutils_64_O1_mkfifo,benign,clean,15146,16332,0.277499,0.002530,0.002530,0.002530,0.002530,0.002530,0.002530,6.263465,benign,benign,benign,benign,benign,0.603325,0.068114,0.603325,0.895685,422.310953,422.310953,775.947961
gcc_coreutils_64_O2_cut,benign,clean,24090,26220,0.279161,0.001963,0.001963,0.279161,0.001963,0.001963,0.001963,6.255889,packed,packed,benign,benign,benign,0.610760,0.084696,0.610760,0.890830,412.291000,412.290666,751.775678
icc_coreutils_64_O3_uptime,benign,clean,30570,33308,0.268466,0.002943,0.002943,0.268466,0.002943,0.002943,0.002943,6.190950,packed,packed,benign,benign,benign,0.563460,0.061364,0.563424,0.845150,408.076480,408.042330,743.285874
icc_coreutils_64_O2_yes,benign,clean,14649,16012,0.276401,0.003825,0.003825,0.276401,0.003825,0.003825,0.003825,6.191867,packed,benign,benign,benign,benign,0.666497,0.089697,0.666497,0.951498,471.706018,471.706018,792.032569
icc_coreutils_64_O1_fold,benign,clean,15447,16716,0.276235,0.003017,0.003017,0.003017,0.003017,0.003017,0.003017,6.186827,benign,benign,benign,benign,benign,0.657349,0.078872,0.657349,0.955338,447.628946,447.628946,802.853233
gcc_coreutils_64_O0_expr,benign,clean,104645,113756,0.287362,0.000828,0.000828,0.000828,0.000828,0.000828,0.000828,5.575767,benign,benign,benign,benign,benign,0.821039,0.059972,0.821039,1.085087,420.086068,420.086068,779.517160
icc_coreutils_64_O3_false,benign,clean,12454,13612,0.272844,0.002248,0.002248,0.002248,0.002248,0.002248,0.002248,6.217306,benign,benign,benign,benign,benign,0.522944,0.100534,0.522944,0.789131,353.746267,353.746267,673.767853
icc_coreutils_64_O1_du,benign,clean,61932,66892,0.275286,0.001533,0.001533,0.001533,0.001533,0.001533,0.001533,6.185795,benign,benign,benign,benign,benign,0.603271,0.052124,0.603271,0.902074,460.293882,460.293882,826.373465
icc_coreutils_64_O3_echo,benign,clean,13718,15036,0.272124,0.005603,0.005603,0.005603,0.005603,0.272124,0.005603,6.193840,benign,benign,benign,packed,benign,0.555332,0.106293,0.555332,0.829351,383.268212,383.268212,702.404532
gcc_coreutils_64_O1_kill,benign,clean,15555,16860,0.277917,0.003254,0.003254,0.003254,0.003254,0.003254,0.003254,6.103446,benign,benign,benign,benign,benign,0.590148,0.056281,0.590148,0.878904,409.604787,409.604787,760.553434
icc_coreutils_64_O0_nproc,benign,clean,19290,21276,0.298497,0.004020,0.004020,0.004020,0.004020,0.004020,0.004020,5.716579,benign,benign,benign,benign,benign,0.956351,0.066749,0.956351,1.224934,494.426401,494.426401,824.060518
gcc_coreutils_64_O3_date,benign,clean,42995,46892,0.262914,0.003301,0.003301,0.262914,0.003301,0.003301,0.003301,6.326079,packed,packed,benign,benign,benign,0.608528,0.081445,0.608502,0.890187,419.750734,419.726454,752.580553
icc_coreutils_64_O2_users,benign,clean,15357,16828,0.279091,0.003981,0.003981,0.279091,0.003981,0.003981,0.003981,6.180007,packed,benign,benign,benign,benign,0.668130,0.090994,0.668130,0.950467,464.054058,464.054058,786.208073
icc_coreutils_64_O3_tail,benign,clean,46951,51516,0.271943,0.003228,0.003228,0.003228,0.003228,0.003228,0.003228,6.289790,benign,benign,benign,benign,benign,0.558377,0.063783,0.558377,0.831111,395.781749,395.781749,735.562411
gcc_coreutils_64_O0_tsort,benign,clean,22031,24252,0.294721,0.002612,0.002612,0.002612,0.002612,0.002612,0.002612,5.575250,benign,benign,benign,benign,benign,0.954635,0.071009,0.954635,1.233309,510.519314,510.519314,844.358403
gcc_coreutils_64_O2_sha256sum,benign,clean,29301,31932,0.293505,0.001732,0.001732,0.001732,0.001732,0.001732,0.001732,6.303530,benign,benign,benign,benign,benign,0.591481,0.040461,0.591481,0.872833,435.118585,435.118585,776.799440
icc_coreutils_64_O0_tac,benign,clean,103705,112684,0.285656,0.000923,0.000923,0.285656,0.000923,0.000923,0.000923,5.610588,packed,benign,benign,benign,benign,0.841126,0.061547,0.841126,1.108673,429.262553,429.262553,790.417580
gcc_coreutils_64_O0_shred,benign,clean,35631,39776,0.292919,0.001848,0.001848,0.001848,0.001848,0.001848,0.001848,5.595904,benign,benign,benign,benign,benign,0.814066,0.079208,0.814066,1.067909,430.159585,430.159585,760.013037
icc_coreutils_64_O3_unlink,benign,clean,22698,24684,0.263988,0.003878,0.003878,0.003878,0.003878,0.003878,0.003878,6.129091,benign,benign,benign,benign,benign,0.635491,0.082826,0.635491,0.929932,454.996537,454.996537,798.405406
icc_coreutils_64_O1_split,benign,clean,39123,42396,0.266467,0.001854,0.001854,0.266467,0.001854,0.001854,0.001854,6.168874,packed,packed,benign,benign,benign,0.537974,0.027521,0.537972,0.821386,398.476756,398.474361,770.540715
gcc_coreutils_64_O0_sort,benign,clean,80142,88528,0.294839,0.001259,0.001259,0.001259,0.001259,0.001259,0.001259,5.784308,benign,benign,benign,benign,benign,0.969199,0.073855,0.969199,1.221930,394.472019,394.472019,740.564910
icc_coreutils_64_O1_make-prime-list,benign,clean,1958,2156,0.311542,0.010010,0.010010,0.010010,0.311542,0.311542,0.010010,6.098567,benign,benign,packed,packed,benign,0.472180,0.117863,0.472180,0.693638,259.386421,259.386421,570.546280
gcc_coreutils_64_O3_truncate,benign,clean,39158,43100,0.259743,0.003003,0.003003,0.003003,0.003003,0.003003,0.003003,6.135154,benign,benign,benign,benign,benign,0.677405,0.080898,0.677405,0.965717,449.321552,449.321552,793.209506
gcc_coreutils_64_O1_mv,benign,clean,75550,83324,0.271158,0.002595,0.002595,0.002595,0.002595,0.002595,0.002595,6.205737,benign,benign,benign,benign,benign,0.558785,0.041268,0.558785,0.825104,420.667668,420.667668,766.998354
gcc_coreutils_64_O0_chgrp,benign,clean,42332,46712,0.299773,0.001725,0.001725,0.001725,0.001725,0.001725,0.001725,5.790488,benign,benign,benign,benign,benign,1.007486,0.084199,1.007486,1.271561,443.315809,443.315809,781.970552
gcc_coreutils_64_O3_test,benign,clean,16575,18204,0.273786,0.004884,0.004884,0.004884,0.004884,0.004884,0.004884,6.222351,benign,benign,benign,benign,benign,0.583109,0.080206,0.583109,0.856821,413.920674,413.920674,731.282598
gcc_coreutils_64_O1_paste,benign,clean,15668,16956,0.274636,0.001647,0.001647,0.001647,0.001647,0.001647,0.001647,6.117346,benign,benign,benign,benign,benign,0.612995,0.069182,0.612995,0.912109,429.826352,429.826352,786.058618
