stem,level,split,n,code_bytes,entropy,base_rate,s_glob,s_spat,ece_raw,ece_default,ece_oracle,ece_sig,ece_se,sig_pick,se_pick
wc,O3,holdout,28396,30812,6.231739,0.264826,0.620742,0.071194,0.015297,0.001545,0.001401,0.001401,0.001401,O3,O3
pwd,O0,holdout,21195,23592,5.718664,0.298278,0.933439,0.061015,0.014435,0.005579,0.003284,0.003284,0.003284,O0,O0
pwd,O1,holdout,16410,17788,6.095847,0.274711,0.582749,0.066411,0.013977,0.002551,0.001810,0.001810,0.001810,O1,O1
pwd,O2,holdout,17113,18828,6.222339,0.278852,0.680746,0.067365,0.019116,0.001697,0.001697,0.001697,0.003963,O2,O1
pwd,O3,holdout,25631,27916,6.207460,0.265577,0.569649,0.067350,0.015534,0.002709,0.002747,0.002747,0.002709,O3,O2
cat,O0,holdout,31523,35040,5.693931,0.293690,0.804543,0.047439,0.010119,0.003639,0.002643,0.003437,0.002643,O1,O0
cat,O1,holdout,29400,31836,6.098084,0.266701,0.609666,0.038064,0.010112,0.001855,0.000767,0.000767,0.000767,O1,O1
cat,O2,holdout,29904,32908,6.134740,0.266219,0.635178,0.073646,0.014729,0.001789,0.001789,0.001838,0.001838,O3,O3
cat,O3,holdout,38380,41996,6.140186,0.259719,0.655129,0.085828,0.012344,0.001724,0.002031,0.001724,0.002031,O2,O3
pr,O0,holdout,41888,46656,5.901787,0.290656,1.112455,0.060266,0.012436,0.002204,0.001989,0.001989,0.001989,O0,O0
pr,O1,holdout,32215,34764,6.278275,0.273165,0.550721,0.054184,0.013474,0.002889,0.001278,0.001278,0.001896,O1,O3
pr,O2,holdout,35558,39212,6.308498,0.272006,0.590076,0.076032,0.017820,0.001836,0.001836,0.001916,0.001916,O3,O3
pr,O3,holdout,47486,52140,6.315627,0.266394,0.580138,0.070365,0.014940,0.002892,0.002764,0.002764,0.002764,O3,O3
base64,O0,holdout,23137,25468,5.728000,0.297489,0.987145,0.059404,0.012482,0.003802,0.002434,0.002434,0.002434,O0,O0
base64,O1,holdout,17579,19004,6.144434,0.277092,0.621791,0.073002,0.016387,0.003270,0.002072,0.003197,0.002072,O3,O1
base64,O2,holdout,18462,20268,6.255368,0.279710,0.683591,0.071400,0.020279,0.002833,0.002833,0.002833,0.002833,O2,O2
base64,O3,holdout,26945,29356,6.258784,0.267916,0.593666,0.063168,0.018002,0.003086,0.002691,0.005652,0.003086,O1,O2
