name,regime,sublabel,arm,pick,tau,n_cand,n_pos,n_accept,tp,fp,fn,n_window,win_accept
icc_coreutils_64_O2_chroot,benign,clean,switch_guard,benign,0.50,17356,4873,4953,4673,280,200,0,0
icc_coreutils_64_O2_chroot,benign,clean,switch_guard,benign,0.70,17356,4873,4373,4329,44,544,0,0
icc_coreutils_64_O2_chroot,benign,clean,switch_guard,benign,0.90,17356,4873,4219,4208,11,665,0,0
icc_coreutils_64_O2_chroot,benign,clean,oracle,benign,0.50,17356,4873,4953,4673,280,200,0,0
icc_coreutils_64_O2_chroot,benign,clean,oracle,benign,0.70,17356,4873,4373,4329,44,544,0,0
icc_coreutils_64_O2_chroot,benign,clean,oracle,benign,0.90,17356,4873,4219,4208,11,665,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,stale,benign,0.50,33619,9479,9542,9358,184,121,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,stale,benign,0.70,33619,9479,9125,9089,36,390,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,stale,benign,0.90,33619,9479,8966,8955,11,524,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,switch_rule,benign,0.50,33619,9479,9542,9358,184,121,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,switch_rule,benign,0.70,33619,9479,9125,9089,36,390,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,switch_rule,benign,0.90,33619,9479,8966,8955,11,524,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,switch_guard,benign,0.50,33619,9479,9542,9358,184,121,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,switch_guard,benign,0.70,33619,9479,9125,9089,36,390,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,switch_guard,benign,0.90,33619,9479,8966,8955,11,524,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,oracle,benign,0.50,33619,9479,9542,9358,184,121,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,oracle,benign,0.70,33619,9479,9125,9089,36,390,0,0
icc_coreutils_64_O1_sha384sum,benign,clean,oracle,benign,0.90,33619,9479,8966,8955,11,524,0,0
icc_coreutils_64_O1_shred,benign,clean,stale,benign,0.50,26752,7317,7401,7196,205,121,0,0
icc_coreutils_64_O1_shred,benign,clean,stale,benign,0.70,26752,7317,6917,6888,29,429,0,0
icc_coreutils_64_O1_shred,benign,clean,stale,benign,0.90,26752,7317,6760,6751,9,566,0,0
icc_coreutils_64_O1_shred,benign,clean,switch_rule,benign,0.50,26752,7317,7401,7196,205,121,0,0
icc_coreutils_64_O1_shred,benign,clean,switch_rule,benign,0.70,26752,7317,6917,6888,29,429,0,0
icc_coreutils_64_O1_shred,benign,clean,switch_rule,benign,0.90,26752,7317,6760,6751,9,566,0,0
icc_coreutils_64_O1_shred,benign,clean,switch_guard,benign,0.50,26752,7317,7401,7196,205,121,0,0
icc_coreutils_64_O1_shred,benign,clean,switch_guard,benign,0.70,26752,7317,6917,6888,29,429,0,0
icc_coreutils_64_O1_shred,benign,clean,switch_guard,benign,0.90,26752,7317,6760,6751,9,566,0,0
icc_coreutils_64_O1_shred,benign,clean,oracle,benign,0.50,26752,7317,7401,7196,205,121,0,0
icc_coreutils_64_O1_shred,benign,clean,oracle,benign,0.70,26752,7317,6917,6888,29,429,0,0
icc_coreutils_64_O1_shred,benign,clean,oracle,benign,0.90,26752,7317,6760,6751,9,566,0,0
icc_coreutils_64_O3_touch,benign,clean,stale,benign,0.50,42929,11222,11388,10768,620,454,0,0
icc_coreutils_64_O3_touch,benign,clean,stale,benign,0.70,42929,11222,10288,10219,69,1003,0,0
icc_coreutils_64_O3_touch,benign,clean,stale,benign,0.90,42929,11222,10061,10037,24,1185,0,0
icc_coreutils_64_O3_touch,benign,clean,switch_rule,benign,0.50,42929,11222,11388,10768,620,454,0,0
icc_coreutils_64_O3_touch,benign,clean,switch_rule,benign,0.70,42929,11222,10288,10219,69,1003,0,0
icc_coreutils_64_O3_touch,benign,clean,switch_rule,benign,0.90,42929,11222,10061,10037,24,1185,0,0
icc_coreutils_64_O3_touch,benign,clean,switch_guard,benign,0.50,42929,11222,11388,10768,620,454,0,0
icc_coreutils_64_O3_touch,benign,clean,switch_guard,benign,0.70,42929,11222,10288,10219,69,1003,0,0
icc_coreutils_64_O3_touch,benign,clean,switch_guard,benign,0.90,42929,11222,10061,10037,24,1185,0,0
icc_coreutils_64_O3_touch,benign,clean,oracle,benign,0.50,42929,11222,11388,10768,620,454,0,0
icc_coreutils_64_O3_touch,benign,clean,oracle,benign,0.70,42929,11222,10288,10219,69,1003,0,0
icc_coreutils_64_O3_touch,benign,clean,oracle,benign,0.90,42929,11222,10061,10037,24,1185,0,0
desync_coreutils_64_O0_logname,obfuscated,pilot,stale,benign,0.50,37038,10855,12403,10429,1974,426,0,0
desync_coreutils_64_O0_logname,obfuscated,pilot,stale,benign,0.70,37038,10855,11721,10120,1601,735,0,0
desync_coreutils_64_O0_logname,obfuscated,pilot,stale,benign,0.90,37038,10855,11420,9917,1503,938,0,0
desync_coreutils_64_O0_logname,obfuscated,pilot,switch_rule,obfuscated,0.50,37038,10855,11666,10090,1576,765,0,0
desync_coreutils_64_O0_logname,obfuscated,pilot,switch_rule,obfuscated,0.70,37038,10855,11456,9946,1510,909,0,0
desync_coreutils_64_O0_logname,obfuscated,pilot,switch_rule,obfuscated,0.90,37038,10855,0,0,0,10855,0,0
desync_coreutils_64_O0_logname,obfuscated,pilot,switch_guard,obfuscated,0.50,37038,10855,11666,10090,1576,765,0,0
desync_coreutils_64_O0_logname,obfuscated,pilot,switch_guard,obfuscated,0.70,37038,10855,11456,9946,1510,909,0,0
desync_coreutils_64_O0_logname,obfuscated,pilot,switch_guard,obfuscated,0.90,37038,10855,0,0,0,10855,0,0
